Material_Name,Cost Price,Currency,Description,Type,Insulation Type,Thickness,Finish,Size,Weight,Unit ,Coverage per liter (sq.m),Coverage per sq.m,Tiles/sheet,Coverage per sq.m (9-inch wall),Bricks/Block,Coverage per sq.m (4.5-inch wall),Bricks/Block,Wastage Percentage,Labor Cost per sq.m,Currency,Transportation Cost (per 1000 bricks),Region
Concrete Paint,32,Dhs,Paint designed specifically for concrete floors and walls.,Acrylic,_,_,Semi-gloss,_,_,_,9,_,_,_,,_,,6%,14,Dhs,100,Urban
Moisture-Resistant Paint,26,Dhs,Moisture-resistant paint for basements and damp areas.,Latex,_,_,Satin,_,_,_,10,_,_,_,,_,,5%,12,Dhs,85,Suburban
Reflective Roof Coating,48,Dhs,Reflective paint for energy-efficient roof coatings.,Elastomeric,_,_,Gloss,_,_,_,8,_,_,_,,_,,4%,19,Dhs,130,Urban
Fire-Resistant Paint,55,Dhs,Intumescent fire-resistant paint for structural steel.,Intumescent Coating,_,_,Semi-gloss,_,_,_,6,_,_,_,,_,,2%,22,Dhs,150,Urban
UV-Resistant Paint,35,Dhs,Paint with added UV protection for outdoor surfaces.,Acrylic,_,_,Satin,_,_,_,9,_,_,_,,_,,3%,15,Dhs,100,Suburban
Peelable Paint,28,Dhs,Peelable paint for temporary coatings on various surfaces.,Acrylic,_,_,Matte,_,_,_,7,_,_,_,,_,,6%,12,Dhs,85,Urban
Whitewash Paint,12,Dhs,Traditional whitewash for rural and agricultural buildings.,Natural,_,_,Matte,_,_,_,10,_,_,_,,_,,5%,8,Dhs,70,Rural
Anti-Graffiti Coating,45,Dhs,Protective anti-graffiti coating for walls and surfaces.,Polyurethane,_,_,Gloss,_,_,_,9,_,_,_,,_,,4%,20,Dhs,140,Urban
Rubberized Waterproofing,32,Dhs,Flexible rubberized coating for waterproofing walls and roofs.,Elastomeric,_,_,Gloss,_,_,_,8,_,_,_,,_,,6%,18,Dhs,125,Urban
Satin Interior Wall Paint,22,Dhs,Satin finish for smooth interior walls.,Latex,_,_,Satin,_,_,_,10,_,_,_,,_,,3%,12,Dhs,80,Urban
Anti-Condensation Paint,28,Dhs,Paint designed to prevent condensation buildup.,Latex,_,_,Satin,_,_,_,9,_,_,_,,_,,4%,14,Dhs,90,Urban
Reflective Heat Paint,50,Dhs,Heat-reflective paint for energy-saving indoor surfaces.,Reflective,_,_,Satin,_,_,_,7,_,_,_,,_,,3%,20,Dhs,140,Urban
Nano-Coating Paint,40,Dhs,Advanced nano-coating for water and dirt resistance.,Nanotechnology,_,_,Gloss,_,_,_,9,_,_,_,,_,,5%,18,Dhs,125,Urban
Vinyl Matt Emulsion,18,Dhs,Durable vinyl matte paint for interior walls.,Emulsion,_,_,Matte,_,_,_,10,_,_,_,,_,,4%,10,Dhs,75,Urban
Stucco Paint,22,Dhs,Textured stucco paint for decorative finishes.,Acrylic,_,_,Textured,_,_,_,8,_,_,_,,_,,5%,12,Dhs,85,Urban
Marine-Grade Paint,45,Dhs,Water-resistant paint for boats and marine structures.,Epoxy,_,_,High-Gloss,_,_,_,6,_,_,_,,_,,3%,20,Dhs,150,Urban
Metallic Finish Paint,35,Dhs,Metallic finish paint for decorative accents.,Acrylic,_,_,Semi-gloss,_,_,_,8,_,_,_,,_,,4%,16,Dhs,110,Urban
Rust-Proof Metal Paint,40,Dhs,Anti-rust paint for outdoor metal surfaces.,Epoxy,_,_,Gloss,_,_,_,7,_,_,_,,_,,5%,18,Dhs,120,Urban
Ultra-Low VOC Paint,30,Dhs,Ultra-low VOC paint for eco-conscious interiors.,Latex,_,_,Matte,_,_,_,11,_,_,_,,_,,4%,11,Dhs,90,Suburban
Specialty Glitter Paint,35,Dhs,Decorative glitter paint for interior walls and craft projects.,Acrylic,_,_,Glitter,_,_,_,6,_,_,_,,_,,7%,14,Dhs,110,Urban
Tile Paint,25,Dhs,Durable tile paint for bathrooms and kitchens.,Epoxy,_,_,Satin,_,_,_,9,_,_,_,,_,,3%,12,Dhs,90,Suburban
Waterproof Masonry Paint,30,Dhs,Waterproof paint for exterior masonry surfaces.,Acrylic,_,_,Gloss,_,_,_,8,_,_,_,,_,,6%,15,Dhs,100,Urban
